B06012_001E,B06012_002E,state,county
12947.0,2607.0,06,105
9906013.0,1764081.0,06,037
2289086.0,376689.0,06,065
2050839.0,392195.0,06,071
1856096.0,172213.0,06,085
253100.0,20445.0,06,041
367202.0,31932.0,06,061
43259.0,9524.0,06,093
176464.0,30945.0,06,089
418688.0,53265.0,06,095
24011.0,5219.0,06,015
27541.0,5578.0,06,021
218439.0,46456.0,06,007
18363.0,2346.0,06,063
262763.0,37208.0,06,079
839619.0,194354.0,06,029
831731.0,88486.0,06,111
66772.0,8786.0,42,005
37308.0,6436.0,42,035
63230.0,7621.0,42,025
141902.0,27170.0,42,027
89064.0,12974.0,42,097
289531.0,26379.0,42,095
52262.0,7535.0,42,121
166470.0,18036.0,42,007
204825.0,31288.0,42,069
39315.0,6705.0,42,083
130280.0,24277.0,42,051
794839.0,52250.0,42,091
75401.0,11196.0,42,033
133614.0,14293.0,42,075
110490.0,15932.0,42,081
17639.0,1763.0,42,093
39648.0,5042.0,42,123
180498.0,15257.0,42,019
30657.0,2688.0,42,047
518985.0,55977.0,42,071
107052.0,14962.0,42,085
16963.0,2395.0,42,105
41040.0,5509.0,42,117
79184.0,7292.0,44,005
605420.0,104178.0,44,007
45784.0,3246.0,44,001
162435.0,28253.0,45,003
8487.0,2519.0,45,005
23723.0,4002.0,45,037
32225.0,7554.0,45,023
37181.0,7733.0,45,029
31646.0,8225.0,45,067
274252.0,37445.0,45,063
74704.0,13806.0,45,073
195416.0,25772.0,45,015
368671.0,60063.0,45,019
60188.0,11514.0,45,043
24550.0,6551.0,45,069
189850.0,30879.0,45,007
45530.0,11158.0,45,025
67182.0,16282.0,45,047
296392.0,52197.0,45,051
62678.0,9963.0,45,055
86835.0,20319.0,45,075
286108.0,48747.0,45,083
14069.0,3806.0,45,009
169824.0,21115.0,45,013
14652.0,2834.0,45,017
30849.0,9431.0,45,033
19885.0,3764.0,45,081
371217.0,61606.0,45,079
22673.0,5563.0,45,039
18780.0,3282.0,45,049
469962.0,67067.0,45,045
81634.0,14201.0,45,057
146153.0,17625.0,45,035
62108.0,9498.0,42,037
43694.0,6364.0,42,065
44963.0,3921.0,42,099
6105.0,731.0,42,113
163266.0,13400.0,44,003
120262.0,12045.0,44,009
36560.0,6828.0,45,071
32301.0,8400.0,45,027
105172.0,21063.0,45,085
21446.0,5680.0,45,011
66163.0,15241.0,45,031
241310.0,30218.0,45,091
55481.0,12593.0,45,021
26693.0,6256.0,45,053
16557.0,4666.0,45,061
24247.0,5230.0,45,001
3812.0,829.0,46,085
4235.0,448.0,46,039
5110.0,772.0,46,015
4166.0,686.0,46,053
177414.0,20543.0,46,099
3565.0,553.0,46,025
4980.0,465.0,46,077
11798.0,3223.0,46,027
5597.0,1545.0,46,041
16314.0,1451.0,46,065
2302.0,199.0,46,111
3245.0,197.0,46,059
21139.0,3055.0,46,135
17808.0,3812.0,46,005
19017.0,2283.0,46,035
1969.0,195.0,46,073
2946.0,211.0,46,117
17344.0,3513.0,28,131
8961.0,1927.0,46,023
4675.0,493.0,46,091
2956.0,400.0,46,105
9718.0,4582.0,46,121
14128.0,7622.0,46,102
170962.0,16543.0,47,165
7863.0,1043.0,47,169
7667.0,1904.0,47,027
918762.0,196471.0,47,157
27572.0,5703.0,47,077
50751.0,7724.0,47,089
14473.0,2328.0,47,153
27480.0,5441.0,47,017
646910.0,114238.0,47,037
7747.0,2216.0,47,135
11461.0,2160.0,47,121
17865.0,3744.0,47,075
185858.0,28232.0,47,125
13276.0,3718.0,47,061
34795.0,9081.0,47,029
18729.0,4152.0,47,041
11690.0,2384.0,47,101
30392.0,6399.0,47,131
60637.0,8378.0,47,167
11204.0,2643.0,16,073
21392.0,2707.0,16,013
6844.0,938.0,16,015
10944.0,1813.0,16,021
2548.0,396.0,16,023
6674.0,680.0,16,029
15038.0,2348.0,16,047
417930.0,51101.0,16,001
81426.0,14875.0,16,005
5857.0,847.0,16,007
44837.0,6008.0,16,011
107582.0,13711.0,16,019
968.0,192.0,16,025
7444.0,972.0,16,035
27010.0,3023.0,16,051
7615.0,1284.0,16,059
22263.0,4199.0,16,075
40670.0,6092.0,16,017
4139.0,852.0,16,037
25277.0,4587.0,16,039
37450.0,12226.0,16,065
12338.0,2208.0,16,079
10437.0,1283.0,16,081
9858.0,1508.0,16,087
18407.0,2124.0,17,067
49926.0,4899.0,17,063
106808.0,16800.0,17,091
917734.0,64677.0,17,043
6826.0,2284.0,17,003
12346.0,1564.0,17,129
108498.0,15069.0,17,099
5141824.0,856682.0,17,031
104765.0,19626.0,17,115
31329.0,4684.0,17,137
16391.0,2552.0,17,191
38111.0,2942.0,17,203
38793.0,7440.0,17,055
27736.0,6513.0,17,109
304979.0,23653.0,17,111
14601.0,1769.0,17,139
19234.0,3102.0,17,145
4053.0,604.0,17,151
261458.0,46059.0,17,163
21750.0,2810.0,17,173
190404.0,41161.0,17,019
4782.0,595.0,17,013
13329.0,1871.0,17,053
21973.0,2051.0,17,085
120780.0,6578.0,17,093
12073.0,1929.0,17,101
37466.0,6867.0,17,121
13658.0,2115.0,17,125
28265.0,4556.0,17,075
13172.0,1854.0,17,025
5295.0,860.0,17,059
33391.0,1480.0,17,133
181453.0,29991.0,17,143
2975.0,454.0,20,089
3839.0,483.0,20,093
9243.0,1404.0,20,159
4139.0,654.0,20,185
27805.0,1833.0,20,113
15763.0,1826.0,20,139
1205.0,85.0,20,071
8303.0,892.0,20,031
37419.0,8176.0,20,037
27837.0,4008.0,20,051
6180.0,890.0,20,073
20347.0,3699.0,20,099
9450.0,1413.0,20,107
501510.0,75476.0,20,173
22668.0,4285.0,20,175
4662.0,530.0,20,157
2536.0,262.0,20,065
566366.0,34189.0,20,091
107522.0,20668.0,20,045
2493.0,152.0,20,179
32131.0,3079.0,20,121
1555.0,158.0,20,199
5647.0,1014.0,20,189
3640.0,505.0,20,183
13116.0,1075.0,20,085
7548.0,662.0,20,095
9866.0,1078.0,20,131
160104.0,36409.0,20,209
20440.0,3315.0,20,021
8195.0,797.0,20,027
3009.0,325.0,20,105
22966.0,2872.0,20,191
2845.0,123.0,20,195
8716.0,1456.0,20,205
6030.0,697.0,20,123
2991.0,338.0,20,135
15297.0,2941.0,20,005
14309.0,2489.0,20,011
2567.0,282.0,20,075
73006.0,7238.0,20,103
174077.0,25190.0,20,177
2120.0,127.0,20,203
3397.0,504.0,20,019
4712.0,419.0,20,137
60894.0,8727.0,20,155
8924.0,1154.0,20,029
2866.0,318.0,20,047
4038.0,521.0,20,081
3078.0,230.0,20,165
4875.0,250.0,20,171
15820.0,3113.0,20,133
5878.0,501.0,20,143
5334.0,503.0,20,147
44280.0,5641.0,06,009
748756.0,57490.0,06,081
50446.0,7176.0,06,109
32969.0,3684.0,06,005
4280.0,509.0,08,095
650979.0,106745.0,08,031
1441.0,154.0,08,061
3523.0,634.0,08,009
5536.0,392.0,08,047
7274.0,1033.0,08,063
15086.0,2319.0,08,051
549606.0,44629.0,08,059
4643.0,425.0,08,091
6333.0,788.0,08,103
271179.0,34050.0,08,123
8169.0,1805.0,08,021
3590.0,1092.0,08,023
312998.0,11807.0,08,035
52524.0,4237.0,08,037
51998.0,5569.0,08,067
12817.0,1419.0,08,081
11337.0,2174.0,08,105
3735.0,943.0,08,011
4335.0,1479.0,08,025
552.0,21.0,08,111
1300.0,179.0,08,057
20785.0,3394.0,08,075
25729.0,4811.0,08,083
23252.0,1752.0,08,119
303247.0,40732.0,08,013
13458.0,1926.0,08,071
3510.0,597.0,08,073
23679.0,2408.0,08,107
15262.0,4786.0,08,003
9088.0,677.0,08,019
36293.0,6012.0,08,043
28342.0,4601.0,26,105
23174.0,3492.0,26,109
60081.0,10448.0,26,117
14860.0,2234.0,26,113
59873.0,9697.0,26,149
158290.0,22366.0,26,147
74367.0,12998.0,26,159
339280.0,51476.0,26,161
15083.0,2897.0,26,011
58407.0,5461.0,26,015
51380.0,7636.0,26,027
11071.0,1907.0,26,071
17234.0,1926.0,26,019
23599.0,4644.0,26,143
8027.0,1728.0,26,153
1747379.0,428189.0,26,163
41192.0,7368.0,26,023
88241.0,8649.0,26,055
149525.0,25032.0,26,075
407808.0,85283.0,26,049
22875.0,2962.0,26,009
184561.0,10972.0,26,093
24894.0,4205.0,26,069
135109.0,26515.0,45,041
64086.0,13028.0,45,059
8524.0,1672.0,45,065
113470.0,21236.0,45,077
27446.0,5464.0,45,087
30950.0,9056.0,45,089
2594.0,161.0,46,003
7142.0,555.0,46,051
5303.0,1147.0,46,123
2804.0,1106.0,46,137
6361.0,703.0,46,115
5543.0,601.0,46,009
29965.0,4949.0,46,011
6591.0,1115.0,46,047
5837.0,449.0,46,057
3200.0,1167.0,46,071
8127.0,944.0,46,033
1402.0,154.0,46,069
2271.0,287.0,46,049
6991.0,940.0,46,067
5347.0,576.0,46,129
2042.0,800.0,46,017
5401.0,997.0,46,037
2862.0,208.0,46,043
1255.0,165.0,46,063
2152.0,404.0,46,089
10030.0,2064.0,46,109
1441.0,63.0,46,119
50998.0,1903.0,46,083
11587.0,1601.0,46,079
23912.0,2873.0,46,081
27424.0,2847.0,46,029
10063.0,1028.0,46,019
4118.0,1929.0,46,031
3869.0,380.0,46,045
1539.0,117.0,46,021
3366.0,1286.0,46,007
2035.0,365.0,46,055
767.0,79.0,46,075
26004.0,2353.0,46,093
8091.0,837.0,46,125
37184.0,4076.0,46,013
3383.0,339.0,46,061
5448.0,566.0,46,087
2030.0,937.0,46,095
6368.0,935.0,46,101
104514.0,14402.0,46,103
14652.0,943.0,46,127
2250.0,223.0,46,097
53167.0,8437.0,47,031
38606.0,5774.0,47,047
6446.0,1757.0,47,067
55686.0,10706.0,47,073
16014.0,4313.0,47,091
33062.0,6123.0,47,103
22461.0,4167.0,47,111
6181.0,644.0,47,127
9389.0,2363.0,13,167
28081.0,4520.0,13,195
38716.0,10638.0,13,277
6318.0,1307.0,13,263
8793.0,3053.0,13,273
9210.0,1915.0,13,319
7041.0,2018.0,13,243
33166.0,9310.0,13,299
6814.0,1422.0,13,315
8908.0,2217.0,13,155
10651.0,1949.0,13,005
22502.0,6862.0,13,033
8210.0,1174.0,13,053
26005.0,6885.0,13,087
40766.0,7471.0,13,137
37088.0,6915.0,47,045
341249.0,50631.0,47,065
16420.0,2918.0,47,139
25729.0,4662.0,47,185
154203.0,25982.0,47,163
30229.0,4273.0,36,095
53059.0,8861.0,36,035
154158.0,19064.0,36,083
45272.0,8706.0,36,033
2284528.0,334149.0,36,081
59241.0,7627.0,36,115
1587909.0,279847.0,36,061
74576.0,8494.0,36,011
317915.0,46128.0,36,087
209422.0,28523.0,36,063
36118.0,3638.0,36,031
1336993.0,80282.0,36,059
17889.0,2617.0,36,097
48534.0,7468.0,36,017
111373.0,16236.0,36,045
1468054.0,106499.0,36,103
9206.0,2755.0,28,069
115269.0,21100.0,36,075
90430.0,10761.0,36,117
187230.0,32624.0,36,007
895999.0,132072.0,36,029
72922.0,12479.0,36,105
366404.0,46342.0,36,071
58984.0,9851.0,37,087
354719.0,69253.0,37,067
33946.0,9549.0,37,017
67448.0,8869.0,37,031
19070.0,3992.0,37,015
23335.0,4721.0,37,117
13381.0,2208.0,37,143
90382.0,17517.0,37,157
10228.0,1060.0,37,029
208679.0,35812.0,37,071
92016.0,13478.0,37,125
58626.0,10047.0,37,167
17413.0,3713.0,37,199
67758.0,9185.0,37,037
180110.0,26272.0,37,101
38624.0,7127.0,37,145
26548.0,5290.0,37,009
57086.0,12614.0,37,107
172250.0,23890.0,37,133
65559.0,12668.0,37,161
37484.0,7112.0,37,197
86260.0,17135.0,37,023
7648.0,637.0,38,097
4871.0,417.0,38,021
66562.0,4889.0,38,101
6932.0,415.0,38,067
2480.0,207.0,38,041
162103.0,19089.0,38,017
3371.0,403.0,38,029
15133.0,1501.0,38,077
4751.0,674.0,20,007
2799.0,373.0,20,039
18503.0,1690.0,20,087
35687.0,6268.0,21,089
14458.0,3226.0,21,069
26455.0,4933.0,21,043
6511.0,2210.0,21,063
744185.0,119158.0,21,111
13776.0,2260.0,21,123
16901.0,3446.0,21,161
23112.0,3723.0,26,101
9182.0,1496.0,26,119
25080.0,5099.0,26,051
40190.0,9084.0,26,107
62778.0,10403.0,26,103
22834.0,5172.0,26,133
23759.0,3365.0,26,137
25231.0,4704.0,26,031
